,a,b,c,d,e,f,g,Predict_EPA
147372,29,3,19,19,3,6,6,43.638726
466905,27,3,19,19,3,6,6,43.483461
707619,24,3,19,19,6,6,6,43.435251
199951,26,3,19,19,3,6,6,43.405828
383054,25,3,19,19,4,6,6,43.389758
174043,23,3,19,19,6,6,6,43.357618
163046,25,3,19,19,3,6,6,43.328195
776344,27,4,19,19,3,6,6,43.326365
979906,24,3,19,19,4,6,6,43.312125
848340,29,3,19,19,4,6,5,43.226081
532370,24,4,19,19,5,6,6,43.216593
235429,21,3,19,19,6,6,6,43.202352
948844,23,4,19,19,6,6,6,43.200523
511466,28,3,19,19,4,6,5,43.148449
725525,21,3,19,19,5,6,6,43.140789
38446,23,4,19,19,5,6,6,43.13896
527157,27,3,19,19,5,6,5,43.132379
603520,26,5,19,19,3,6,6,43.091637
148511,30,3,19,18,3,6,6,43.084118
650765,23,4,19,19,4,6,6,43.077397
889354,20,3,19,19,5,6,6,43.063157
367166,24,5,19,19,5,6,6,43.059497
351212,30,3,19,19,3,5,6,43.054531
937743,21,4,19,19,6,6,6,43.045257
954154,23,5,19,19,6,6,6,43.043427
50566,25,3,19,19,6,6,5,43.038676
570109,21,3,19,19,3,6,6,43.017664
833130,27,3,19,19,3,6,5,43.009253
325761,29,4,19,19,3,6,5,43.007423
414984,20,3,19,19,4,6,6,43.001594
132425,28,4,19,19,4,6,5,42.991353
722186,28,3,19,18,4,6,6,42.990415
728519,19,3,19,19,5,6,6,42.985524
159041,29,3,19,19,3,5,6,42.976898
590320,27,3,19,18,5,6,6,42.974345
16672,27,3,19,19,5,5,6,42.944758
850266,28,4,19,19,3,6,5,42.92979
411361,28,3,19,18,3,6,6,42.928852
25886,19,3,19,19,4,6,6,42.923961
614036,21,4,19,19,4,6,6,42.922131
587150,25,6,19,19,4,6,6,42.918472
969985,24,6,19,19,5,6,6,42.902402
292653,28,3,19,19,3,5,6,42.899265
201169,26,4,19,19,5,6,5,42.89765
503075,17,3,19,19,6,6,6,42.891821
495855,19,4,19,19,6,6,6,42.889991
655760,21,5,19,19,6,6,6,42.888162
60003,23,3,19,19,6,6,5,42.88341
240118,25,4,19,19,6,6,5,42.88158
97326,21,4,19,19,3,6,6,42.860568
706276,27,3,19,18,3,6,6,42.85122
956772,25,3,19,19,6,5,6,42.851055
364216,29,4,19,18,3,6,6,42.84939
446177,20,4,19,19,4,6,6,42.844498
218124,24,6,19,19,4,6,6,42.840839
503512,24,3,19,19,4,6,5,42.837917
936172,26,4,19,19,4,6,5,42.836088
947289,19,4,19,19,5,6,6,42.828428
950475,25,3,19,18,5,6,6,42.81908
562327,27,4,19,18,5,6,6,42.81725
863248,29,3,19,19,5,6,4,42.813436
338161,24,3,19,18,6,6,6,42.80301
242889,25,3,19,19,5,5,6,42.789492
751452,22,5,19,19,3,6,6,42.781106
594387,24,6,19,19,3,6,6,42.779276
43031,26,4,19,19,3,6,5,42.774525
568232,26,3,19,18,3,6,6,42.773587
686425,28,5,19,19,3,6,5,42.772695
967949,28,4,19,18,3,6,6,42.771757
167386,30,3,19,19,3,6,4,42.767944
229376,18,4,19,19,5,6,6,42.750796
104126,22,6,19,19,5,6,6,42.747136
672025,22,3,19,19,5,6,5,42.744215
628845,26,3,19,19,3,5,6,42.743999
615996,24,4,19,19,5,6,5,42.742385
985448,26,5,19,19,5,6,5,42.740555
896853,26,4,19,18,5,6,6,42.739617
68608,21,3,19,19,6,6,5,42.728145
173568,27,4,19,19,4,5,6,42.7261
682514,25,5,19,19,6,6,5,42.724485
159889,25,4,19,18,6,6,6,42.723547
903287,27,3,19,19,6,6,4,42.719734
338907,24,3,19,19,5,5,6,42.71186
430214,19,4,19,19,3,6,6,42.705303
66895,21,5,19,19,3,6,6,42.703473
271874,31,3,19,18,3,6,5,42.687543
630635,22,6,19,19,4,6,6,42.685573
261933,24,4,19,19,4,6,5,42.680822
53854,17,4,19,19,5,6,6,42.673163
550286,19,5,19,19,5,6,6,42.671333
477183,21,6,19,19,5,6,6,42.669503
242666,23,3,19,18,5,6,6,42.663814
55345,31,3,19,19,3,5,5,42.657956
385284,20,3,19,19,6,6,5,42.650512
472041,24,5,19,19,6,6,5,42.646852
360305,24,4,19,18,6,6,6,42.645914
701518,26,3,19,19,6,6,4,42.642101
102317,25,4,19,19,5,5,6,42.632397
726490,26,5,19,19,3,6,5,42.617429
149640,26,4,19,18,3,6,6,42.616491
