,a,b,c,d,e,f,g,Predict_EPA
39266,22,4,16,12,3,6,5,33.076706
465258,25,3,17,9,6,5,3,33.076706
424204,26,3,13,9,5,6,5,33.076706
847179,27,3,19,9,4,5,6,33.076706
557747,26,6,18,11,5,6,3,33.076706
424193,23,4,19,13,3,6,5,33.076706
465249,25,5,18,10,5,6,5,33.076706
24589,25,5,15,10,6,5,5,33.076706
424191,27,5,13,12,6,6,3,33.076706
629915,24,3,18,9,5,5,4,33.076706
597011,24,4,19,12,5,6,5,33.076706
826684,24,5,13,11,6,6,5,33.076706
115356,27,6,14,13,4,5,4,33.076706
389444,24,5,13,9,3,5,3,33.076706
159298,26,6,18,11,6,5,6,33.076706
630611,25,5,18,9,4,5,4,33.076706
124472,23,4,19,11,5,6,5,33.076706
937686,22,3,16,13,5,6,3,33.076706
867850,27,5,17,11,3,6,5,33.076706
629878,26,6,16,12,5,5,6,33.076706
124469,23,6,18,9,5,6,3,33.076706
491063,24,3,16,12,3,5,4,33.076706
288022,26,5,19,12,6,5,5,33.076706
725713,24,3,13,10,4,5,5,33.076706
424152,25,4,15,12,3,6,6,33.076706
316377,26,5,16,10,3,5,6,33.076706
597056,25,3,18,12,6,5,5,33.076706
389526,24,4,18,13,6,6,3,33.076706
937652,26,5,15,12,5,5,3,33.076706
698347,24,4,15,12,6,6,6,33.076706
629953,24,4,15,12,4,5,4,33.076706
202242,25,3,16,11,5,6,4,33.076706
987175,22,5,15,10,4,5,6,33.076706
424328,24,5,15,13,4,6,6,33.076706
465177,26,5,17,11,3,5,6,33.076706
557815,22,5,14,11,5,6,4,33.076706
424319,25,5,17,13,3,6,6,33.076706
863449,24,6,16,12,6,6,5,33.076706
244891,24,4,18,13,4,6,5,33.076706
389299,23,4,15,12,4,5,3,33.076706
533115,26,6,18,11,6,6,5,33.076706
11162,24,6,14,12,4,5,5,33.076706
159314,26,5,13,9,3,6,5,33.076706
202231,23,5,16,12,3,6,4,33.076706
630013,23,5,15,12,5,6,6,33.076706
879957,25,5,14,11,6,6,6,33.076706
557788,23,4,18,11,4,5,6,33.076706
725658,22,3,16,10,4,5,3,33.076706
676056,23,3,15,11,5,6,3,33.076706
424248,26,3,19,10,4,5,6,33.076706
269884,25,4,15,10,4,5,6,33.076706
340457,27,5,14,13,6,6,4,33.076706
88570,26,6,15,11,5,5,4,33.076706
11179,26,3,18,13,4,6,4,33.076706
937643,23,4,19,12,5,5,3,33.076706
676060,26,4,18,12,6,6,3,33.076706
629959,26,6,16,10,5,5,6,33.076706
389534,23,6,13,12,6,6,6,33.076706
937722,27,4,13,9,3,5,3,33.076706
180618,27,4,13,13,6,5,6,33.076706
465374,23,4,19,13,3,5,3,33.076706
818931,22,5,15,9,3,6,4,33.076706
781493,23,4,14,9,5,5,4,33.076706
424060,22,5,15,10,6,5,6,33.076706
818940,23,3,17,11,4,5,5,33.076706
490924,22,6,17,12,3,5,5,33.076706
806073,22,3,13,13,3,5,5,33.076706
676245,27,3,17,13,5,6,6,33.076706
742515,26,4,15,11,3,5,4,33.076706
806069,27,4,18,10,3,6,4,33.076706
742512,26,4,14,10,5,6,4,33.076706
742511,25,4,13,13,5,5,4,33.076706
974415,22,4,17,13,5,6,5,33.076706
45889,23,4,19,10,3,5,5,33.076706
863434,25,3,15,12,6,5,6,33.076706
742508,25,5,15,12,3,5,4,33.076706
533318,26,5,19,9,3,5,5,33.076706
725828,23,5,16,13,5,5,4,33.076706
63411,27,5,17,9,4,6,3,33.076706
88682,22,3,15,11,4,5,4,33.076706
765792,27,4,16,12,4,5,4,33.076706
490883,27,3,15,9,5,5,4,33.076706
974422,26,6,17,9,5,5,4,33.076706
389704,22,6,16,9,5,5,5,33.076706
676254,22,6,16,13,4,5,5,33.076706
45895,24,6,15,13,4,5,4,33.076706
270035,27,3,17,12,4,5,4,33.076706
424085,27,4,17,11,3,6,4,33.076706
389535,22,5,17,9,5,6,4,33.076706
826611,26,5,17,11,3,6,6,33.076706
24559,26,3,13,11,3,6,3,33.076706
879995,25,4,14,10,4,6,6,33.076706
45831,27,6,18,10,6,6,5,33.076706
557703,25,5,16,12,3,6,5,33.076706
159282,27,6,16,9,6,6,4,33.076706
676157,24,4,18,12,6,6,3,33.076706
937736,27,3,13,13,6,6,3,33.076706
340347,24,5,14,13,4,6,6,33.076706
974376,27,5,15,10,3,6,4,33.076706
725798,22,6,15,9,4,5,3,33.076706
