a,b,c,d,e,f,g,EPA
1,1,1,1,1,1,1,4.4556
1,1,1,1,1,1,1,24.5267
2,1,1,1,1,1,1,16.2802
3,1,1,2,1,1,1,13.3352
4,1,1,2,1,1,1,4.0551
5,1,1,3,1,1,1,7.9779
4,1,2,3,1,1,1,11.852
5,1,3,4,1,1,1,14.8782
6,1,3,4,1,1,1,27.9329
8,1,4,5,1,2,1,5.8687
9,1,3,5,1,2,2,12.4381
8,1,3,6,1,1,2,23.1258
9,1,4,6,1,2,1,6.8653
10,1,4,6,1,2,2,11.9487
11,1,5,6,2,2,1,23.1891
12,1,6,8,2,2,2,23.7583
13,1,6,7,1,2,1,14.0363
14,1,7,9,2,2,1,3.0291
15,1,6,8,1,2,2,39.9456
15,1,6,8,2,3,2,40.3262
16,1,8,9,1,2,2,21.721
16,1,7,10,1,3,3,8.1841
18,1,7,11,1,2,2,17.0184
19,1,8,10,1,2,2,22.5196
19,1,8,11,2,2,3,22.4592
20,1,10,11,2,3,2,40.2959
20,1,9,12,2,3,2,41.6878
21,1,10,13,3,3,4,31.1241
23,1,10,14,2,4,4,31.5483
24,1,11,13,2,4,3,16.519
25,1,11,15,3,4,4,26.48
25,1,11,15,2,4,4,15.4996
26,1,11,15,3,3,4,25.0665
27,1,12,16,2,3,3,18.3366
27,1,13,17,2,4,3,28.7546
28,1,12,16,2,4,4,42.1654
30,2,14,18,4,4,5,24.3075
